stadium_id,stadium,Latitude,Longitude,StadiumAzimuthAngle,Elevation
ATL00,Georgia Dome,33.758,-84.401,90,1008
ATL97,Mercedes-Benz Stadium,33.755556,-84.4,70.9,1008
BAL00,PSINet Stadium,39.278056,-76.622778,289.5,6
BAL00,M&T Bank Stadium,39.278056,-76.622778,289.5,6
BAL00,Ravens Stadium,39.278056,-76.622778,289.5,6
BOS00,Gillette Stadium,42.091,-71.264,343,261
BOS99,Foxboro Stadium,42.0927,-71.267442,353.7,261
BRG00,Tiger Stadium (LSU),30.411944,-91.185556,336,25
BUF00,Ralph Wilson Stadium,42.774,-78.787,302.1,721
BUF00,New Era Field,42.774,-78.787,302.1,721
BUF01,Rogers Centre,43.641389,-79.389167,346.4,263
CAR00,Ericsson Stadium,35.225833,-80.852778,322.4,701
CAR00,Bank of America Stadium,35.225833,-80.852778,322.4,701
CHI98,Soldier Field,41.8623,-87.6167,353.9,577
CHI99,Memorial Stadium (Champaign),40.09916667,-88.23583333,0,727
CIN00,Paul Brown Stadium,39.095,-84.516,320.6,470
CIN99,Cinergy Field,39.096667,-84.508333,,481
CLE00,Cleveland Browns Stadium,41.506111,-81.699444,56.1,583
CLE00,FirstEnergy Stadium,41.506111,-81.699444,56.1,583
DAL00,Cowboys Stadium,32.747778,-97.092778,68,557
DAL00,AT&T Stadium,32.747778,-97.092778,68,557
DAL99,Texas Stadium,32.84,-96.911,39.4,557
DEN00,Invesco Field at Mile High,39.743889,-105.02,0,5186
DEN00,Sports Authority Field at Mile High,39.743889,-105.02,0,5186
DEN00,Empower Field at Mile High,39.743889,-105.02,0,5186
DEN99,Mile High Stadium,39.74611111,-105.0216667,0,5186
DET00,Ford Field,42.34,-83.045556,63.7,604
DET99,Pontiac Silverdome,42.64583333,-83.255,310,867
GNB00,Lambeau Field,44.501389,-88.062222,0,614
HOU00,Reliant Stadium,29.684722,-95.410833,358.2,50
HOU00,NRG Stadium,29.684722,-95.410833,358.2,50
IND00,Lucas Oil Stadium,39.760056,-86.162806,26.6,698
IND99,RCA Dome,39.76361111,-86.16333333,90,698
JAX00,Alltel Stadium,30.323889,-81.6375,16.7,-1
JAX00,Jacksonville Municipal Stadium,30.323889,-81.6375,16.7,-1
JAX00,EverBank Field,30.323889,-81.6375,16.7,-1
JAX00,TIAA Bank Stadium,30.323889,-81.6375,16.7,-1
KAN00,Arrowhead Stadium,39.048889,-94.483889,316.3,832
LAX01,SoFi Stadium,33.95345,-118.3392,,32
LAX97,StubHub Center,33.864,-118.261,0,141
LAX99,Los Angeles Memorial Coliseum,34.014167,-118.287778,90,141
LON00,Wembley Stadium,51.555833,-0.279722,90,147
LON01,Twickenham Stadium,51.456111,-0.341667,324.8,24
MEX00,Azteca Stadium,19.302911,-99.150442,5.9,7354
MIA00,Pro Player Stadium,25.958056,-80.238889,302.1,5
MIA00,Dolphin Stadium,25.958056,-80.238889,302.1,5
MIA00,Sun Life Stadium,25.958056,-80.238889,302.1,5
MIA00,Hard Rock Stadium,25.958056,-80.238889,302.1,5
MIN00,Hubert H. Humphrey Metrodome,44.973889,-93.258056,,835
MIN00,Mall of America Field,44.973889,-93.258056,,835
MIN01,U.S. Bank Stadium,44.973889,-93.258056,309.9,835
MIN98,TCF Bank Stadium,44.976,-93.225,90,825
NAS00,Adelphia Coliseum,36.166389,-86.771389,334.6,391
NAS00,The Coliseum,36.166389,-86.771389,334.6,391
NAS00,LP Field,36.166389,-86.771389,334.6,391
NAS00,Nissan Stadium,36.166389,-86.771389,334.6,391
NOR00,Louisiana Superdome,29.950833,-90.811111,30,28
NOR00,Mercedes-Benz Superdome,29.950833,-90.811111,30,28
NYC00,Giants Stadium,40.812222,-74.076944,308,-4
NYC01,New Meadowlands Stadium,40.813528,-74.074361,345.5,-4
NYC01,MetLife Stadium,40.813528,-74.074361,345.5,-4
OAK00,Network Associates Coliseum,37.751667,-122.200556,324.7,-25
OAK00,McAfee Coliseum,37.751667,-122.200556,324.7,-25
OAK00,Oakland-Alameda County Coliseum,37.751667,-122.200556,324.7,-25
OAK00,O.co Coliseum,37.751667,-122.200556,324.7,-25
OAK00,Ring Central Coliseum,37.751667,-122.200556,324.7,-25
PHI00,Lincoln Financial Field,39.900833,-75.1675,351,3
PHI99,Veterans Stadium,39.906667,-75.171111,90,3
PHO00,University of Phoenix Stadium,33.528,-112.263,330,1074
PHO00,State Farm Stadium,33.528,-112.263,330,1074
PHO99,Sun Devil Stadium,33.42638889,-111.9325,14.2,1169
PIT00,Heinz Field,40.446667,-80.015833,333.9,717
PIT99,Three Rivers Stadium,40.446667,-80.012778,0,717
SAN00,Alamo Dome,29.416944,-98.478889,0,656
SDG00,Qualcomm Stadium,32.783056,-117.119444,291.6,44
SEA00,Seahawks Stadium,47.5952,-122.3316,0,7
SEA00,Qwest Field,47.5952,-122.3316,0,7
SEA00,CenturyLink Field,47.5952,-122.3316,0,7
SEA98,Seattle Kingdome,47.5952,-122.3316,,7
SEA99,Husky Stadium,47.650278,-122.301667,289.6,21
SFO00,3Com Park,37.713611,-122.386111,0,5
SFO00,Monster Park,37.713611,-122.386111,0,5
SFO00,Candlestick Park,37.713611,-122.386111,0,5
SFO01,Levi's Stadium,37.403,-121.97,330,5
STL00,TWA Dome,38.632778,-90.188611,15,464
STL00,Dome at America's Center,38.632778,-90.188611,15,464
STL00,Edward Jones Dome,38.632778,-90.188611,15,464
TAM00,Raymond James Stadium,27.975833,-82.503333,0,34
VEG00,Allegiant Stadium,36.09075,-115.183722,,2175
WAS00,Jack Kent Cooke Stadium,38.907778,-76.864444,295,198
WAS00,FedExField,38.907778,-76.864444,295,198
